name,providerCode,phoneNumber,address,streetAddress1,streetAddress2,city,state,zipCode,country,status,latitude,longitude,createdAt,updatedAt
Sculpting MD,sculpting-md,774-251-7112,"30 Turnpike Road, , Suite 12, Southborough, MA, 01772, USA","30 Turnpike Road, ",Suite 12,Southborough,MA,01772,USA,Active,42.295279,-71.4972042,2025-10-18T00:01:35.000Z,2025-10-18T00:01:35.000Z
Skin Truth,skin-truth,888-275-5585,"6835 Shiloh Road East, , Suite C-13, Alpharetta, GA, 30005, USA","6835 Shiloh Road East, ",Suite C-13,Alpharetta,GA,30005,USA,Active,34.1083026,-84.202434,2025-10-18T00:01:36.000Z,2025-10-18T00:01:36.000Z
LIVV Natural,livv-natural,(619) 840-6700,"2027 Newcastle Ave, Cardiff, CA, 92007, USA",2027 Newcastle Ave,,Cardiff,CA,92007,USA,Active,33.0227641,-117.2819873,2025-10-18T00:01:36.000Z,2025-10-18T00:01:36.000Z
Metamorphosis Beauty Hawaii LLC,metamorphosis-beauty-hawaii-llc,928-607-1544,"74-5614 Palani Rd. , Suite 3, Kailua-Kona, HI, 96740, USA",74-5614 Palani Rd. ,Suite 3,Kailua-Kona,HI,96740,USA,Active,19.6434204,-155.9955203,2025-10-18T00:01:36.000Z,2025-10-18T00:01:36.000Z
Strawbridge Skin Co.,strawbridge-skin-co,6025011198,"417 Ronan Way, , Unit B, Spring Hill, TN, 37174, USA","417 Ronan Way, ",Unit B,Spring Hill,TN,37174,USA,Active,35.72228630000001,-86.8822445,2025-10-18T00:01:37.000Z,2025-10-18T00:01:37.000Z
A Better You Med Spa,a-better-you-med-spa,865-288-3899,"9307 Kingston Pike, , Suite A, Knoxville, TN, 37923, USA","9307 Kingston Pike, ",Suite A,Knoxville,TN,37923,USA,Active,35.9125935,-84.09267799999999,2025-10-18T00:01:37.000Z,2025-10-18T00:01:37.000Z
Feel Fab Aesthetics,feel-fab-aesthetics,9567071130,"6262 McPherson Rd., Laredo, TX, 78041, USA",6262 McPherson Rd.,,Laredo,TX,78041,USA,Active,27.5596199,-99.476788,2025-10-18T00:01:37.000Z,2025-10-18T00:01:37.000Z
Kanoelani Skin Therapy,kanoelani-skin-therapy,8083931730,"2845 Lowery Ave, Honolulu, HI, 96822, USA",2845 Lowery Ave,,Honolulu,HI,96822,USA,Active,21.3108661,-157.8087988,2025-10-18T00:01:38.000Z,2025-10-18T00:01:38.000Z
Treasure State Eye Care,treasure-state-eye-care,(406) 727-9160,"523 9th Street South, Great Falls, MT, 59405, USA",523 9th Street South,,Great Falls,MT,59405,USA,Active,47.4989917,-111.2919239,2025-10-18T00:01:38.000Z,2025-10-18T00:01:38.000Z
Ali’i Nani Aesthetic Medicine,alii-nani-aesthetic-medicine,8086939930,"579 Farrington Hwy , Ste 206, Kapolei, HI, 96707, USA",579 Farrington Hwy ,Ste 206,Kapolei,HI,96707,USA,Active,21.3386892,-158.0766681,2025-10-18T00:01:39.000Z,2025-10-18T00:01:39.000Z
Erin Kukas Esthetics,erin-kukas-esthetics,9167129320,"1700 Alhambra Blvd. , #100, Sacramento, CA, 95816, USA",1700 Alhambra Blvd. ,#100,Sacramento,CA,95816,USA,Active,38.5648062,-121.4689408,2025-10-18T00:01:39.000Z,2025-10-18T00:01:39.000Z
Empire Medspa,empire-medspa,214-906-2988,"297 FM 1903, Greenville, TX, 75402, USA",297 FM 1903,,Greenville,TX,75402,USA,Active,33.0411496,-96.1148927,2025-10-18T00:01:39.000Z,2025-10-18T00:01:39.000Z
Skin by Jenn at Serenity Hill,skin-by-jenn-at-serenity-hill,9402246432,"2921 Southwest Pkwy, Wichita Falls, TX, 76308, USA",2921 Southwest Pkwy,,Wichita Falls,TX,76308,USA,Active,33.8575109,-98.5394384,2025-10-18T00:01:40.000Z,2025-10-18T00:01:40.000Z
Skinfinity,skinfinity,312-538-4164,"1163 N State st. , Suite 16, Chicago, IL, 60610, USA",1163 N State st. ,Suite 16,Chicago,IL,60610,USA,Active,41.9036315,-87.6284779,2025-10-18T00:01:40.000Z,2025-10-18T00:01:40.000Z
And Aesthetics,and-aesthetics,480-707-9300,"640 S New Maney Dr, Wasilla, AK, 99654, USA",640 S New Maney Dr,,Wasilla,AK,99654,USA,Active,61.5775138,-149.3934398,2025-10-18T00:01:40.000Z,2025-10-18T00:01:40.000Z
Belen Aesthetics,belen-aesthetics,720-736-9816,"7180 E Orchard Rd., , Suite 300, Centennial, CO, 80111, USA","7180 E Orchard Rd., ",Suite 300,Centennial,CO,80111,USA,Active,39.6091419,-104.9056206,2025-10-18T00:01:41.000Z,2025-10-18T00:01:41.000Z
Elevate Skin Lounge & Spa,elevate-skin-lounge-and-spa,702-661-4242,"221 N Buffalo Dr , Suite A, Las Vegas, NV, 89145, USA",221 N Buffalo Dr ,Suite A,Las Vegas,NV,89145,USA,Active,36.17540109999999,-115.2607325,2025-10-18T00:01:41.000Z,2025-10-18T00:01:41.000Z
Redding Transform Health,redding-transform-health,8166827349,"2775 Ventura Street , Ste C, Anderson, CA, 96007, USA",2775 Ventura Street ,Ste C,Anderson,CA,96007,USA,Active,40.4523969,-122.2929471,2025-10-18T00:01:42.000Z,2025-10-18T00:01:42.000Z
Gabi Vegh Skincare,gabi-vegh-skincare,7038435815,"1010 N Glebe Rd , Studio #7, Arlington, VA, 22201, USA",1010 N Glebe Rd ,Studio #7,Arlington,VA,22201,USA,Active,38.88332339999999,-77.1169652,2025-10-18T00:01:41.000Z,2025-10-18T00:01:41.000Z
Tighten it Spa,tighten-it-spa,(916) 792-0772,"1013 Galleria Blvd , Ste 265, Roseville, CA, 95678, USA",1013 Galleria Blvd ,Ste 265,Roseville,CA,95678,USA,Active,38.7675098,-121.2690458,2025-10-18T00:01:42.000Z,2025-10-18T00:01:42.000Z
Mamba Physician Care,mamba-physician-care,772 2009737,"15835 Shaddock Dr , #120, Orlando, FL, 34787, USA",15835 Shaddock Dr ,#120,Orlando,FL,34787,USA,Active,28.4608364,-81.6324881,2025-10-18T00:01:43.000Z,2025-10-18T00:01:43.000Z
"Patricia Haupt, LLC",patricia-haupt-llc,770-655-2473,"175 Pine Grove Rd , Suite 215, Cartersville, GA, 30120, USA",175 Pine Grove Rd ,Suite 215,Cartersville,GA,30120,USA,Active,34.137756,-84.8192668,2025-10-18T00:01:43.000Z,2025-11-13T01:25:06.000Z
Supreme Wellness,supreme-wellness,+1 (808) 294-2632,"1631 Kapiolani Blvd , Suite 101, Honolulu, HI, 96814, USA",1631 Kapiolani Blvd ,Suite 101,Honolulu,HI,96814,USA,Active,21.2913453,-157.8391769,2025-10-18T00:01:44.000Z,2025-10-18T00:01:44.000Z
The Beauty Lab Aesthetics & Wellness,the-beauty-lab-aesthetics-and-wellness,702-344-2484,"5770 S Durango Dr , Suite 110, Las Vegas, NV, 89113, USA",5770 S Durango Dr ,Suite 110,Las Vegas,NV,89113,USA,Active,36.0838316,-115.2788909,2025-10-18T00:01:44.000Z,2025-10-18T00:01:44.000Z
AR Aesthetics,ar-aesthetics,8136449964,"4100 W Kennedy Blvd , suite 130, Tampa, FL, 33609, USA",4100 W Kennedy Blvd ,suite 130,Tampa,FL,33609,USA,Active,27.9445125,-82.51245999999999,2025-10-18T00:01:44.000Z,2025-10-18T00:01:44.000Z
La Belle Medical Spa,la-belle-medical-spa,209-205-2999,"410 E Yosemite Ave , Suite C, Merced, CA, 95340, USA",410 E Yosemite Ave ,Suite C,Merced,CA,95340,USA,Active,37.3315512,-120.4624857,2025-10-18T00:01:45.000Z,2025-10-18T00:01:45.000Z
Pharm House,pharm-house,865-282-8273,"115 Gresham Road, Knoxville, TN, 37918, USA",115 Gresham Road,,Knoxville,TN,37918,USA,Active,36.0387367,-83.93201859999999,2025-10-18T00:01:45.000Z,2025-10-18T00:01:45.000Z
Sheila Marie Aesthetics,sheila-marie-aesthetics,(415) 652-3499,"379 derby Ave, San Mateo, CA, 94403, USA",379 derby Ave,,San Mateo,CA,94403,USA,Active,37.5436204,-122.297099,2025-10-18T00:01:46.000Z,2025-10-18T00:01:46.000Z
Xanadu Med Spa,xanadu-med-spa,+1 970-482-1889,"2105 Bighorn Drive, , Suite 104, Fort Collins, CO, 80525, USA","2105 Bighorn Drive, ",Suite 104,Fort Collins,CO,80525,USA,Active,40.5350926,-105.0388469,2025-10-18T00:01:46.000Z,2025-10-18T00:01:46.000Z
NNY Esthetician,nny-esthetician,315-212-2194,"46 NY 56,, Colton, NY, 13625, USA","46 NY 56,",,Colton,NY,13625,USA,Active,44.5558004,-74.9434084,2025-10-18T00:01:47.000Z,2025-10-18T00:01:47.000Z
Beyond Beauty Medspa,beyond-beauty-medspa,925-915-5153,"675 Ygnacio Valley Rd , 100A, Walnut Creek, CA, 94596, USA",675 Ygnacio Valley Rd ,100A,Walnut Creek,CA,94596,USA,Active,37.9061442,-122.0598188,2025-10-18T00:01:46.000Z,2025-10-18T00:01:46.000Z
Pretty Sweet Aesthetics,pretty-sweet-aesthetics,(208) 791-2121,"629 6th Street, Clarkston, WA, 99403, USA",629 6th Street,,Clarkston,WA,99403,USA,Active,46.4171248,-117.0454313,2025-10-18T00:01:47.000Z,2025-10-18T00:01:47.000Z
True Derm Med Spa,true-derm-med-spa,720.800-5716,"6155 S Main St , SUITE #34, Aurora, CO, 80016, USA",6155 S Main St ,SUITE #34,Aurora,CO,80016,USA,Active,39.6015704,-104.7048842,2025-10-18T00:01:47.000Z,2025-10-18T00:01:47.000Z
Hadia Skin Care,hadia-skin-care,650-491-4041,"1199 Howard Ave , Suite 103, Burlingame, CA, 94010, USA",1199 Howard Ave ,Suite 103,Burlingame,CA,94010,USA,Active,37.5778578,-122.3444611,2025-10-18T00:01:48.000Z,2025-10-18T00:01:48.000Z
Illumatox Aesthetic Studio,illumatox-aesthetic-studio,920-585-8115,"704 Main St, Neenah, WI, 54956, USA",704 Main St,,Neenah,WI,54956,USA,Active,44.1889108,-88.4758291,2025-10-18T00:01:48.000Z,2025-10-18T00:01:48.000Z
Jenni Paul Skin,jenni-paul-skin,8479420950,"36 E Hinsdale Ave , Loft 11, Hinsdale, IL, 60521, USA",36 E Hinsdale Ave ,Loft 11,Hinsdale,IL,60521,USA,Active,41.80259239999999,-87.92762019999999,2025-10-18T00:01:49.000Z,2025-10-18T00:01:49.000Z
Skin By Tina,skin-by-tina,336-906-3120,"1014 Shamrock Court, High Point, NC, 27265, USA",1014 Shamrock Court,,High Point,NC,27265,USA,Active,36.0173516,-80.0099472,2025-10-18T00:01:49.000Z,2025-10-18T00:01:49.000Z
20/20 Optometry of Silicon Valley,2020-optometry-of-silicon-valley,408-433-0800,"2555 N 1st Street, San Jose, CA, 95131, USA",2555 N 1st Street,,San Jose,CA,95131,USA,Active,37.3845805,-121.9276892,2025-10-18T00:01:49.000Z,2025-10-18T00:01:49.000Z
Ember Wellness,ember-wellness,253-394-6933,"12815 Canyon Road E, , Suite AB, Puyallup, WA, 98373, USA","12815 Canyon Road E, ",Suite AB,Puyallup,WA,98373,USA,Active,47.1387959,-122.3562646,2025-10-18T00:01:50.000Z,2025-10-18T00:01:50.000Z
Enlightened Beauty,enlightened-beauty,(916) 365-7958,"530 12th Street, Sacramento, Ca, 95814, USA",530 12th Street,,Sacramento,Ca,95814,USA,Active,38.5841709,-121.4890327,2025-10-18T00:01:50.000Z,2025-10-18T00:01:50.000Z
R Spa Renaissance Club Sport Hotel,r-spa-renaissance-club-sport-hotel,949-330-5550,"50 Enterprise, Aliso Viejo, CA, 92656, USA",50 Enterprise,,Aliso Viejo,CA,92656,USA,Active,33.582453,-117.7300309,2025-10-18T00:01:50.000Z,2025-10-18T00:01:50.000Z
Skin & Sculpt Medical Spa,skin-and-sculpt-medical-spa,865-671-3630,"248 N Peters Road, , Suite 3, Knoxville, TN, 37923, USA","248 N Peters Road, ",Suite 3,Knoxville,TN,37923,USA,Active,35.9161017,-84.08705289999999,2025-10-18T00:01:51.000Z,2025-10-18T00:01:51.000Z
Javan Wellness,javan-wellness,703-338-3149,"4000 Wilson Blvd, , Suite D, Arlington, VA, 22203, USA","4000 Wilson Blvd, ",Suite D,Arlington,VA,22203,USA,Active,38.879518,-77.1079069,2025-10-18T00:01:51.000Z,2025-10-18T00:01:51.000Z
Aesthetic Avenue,aesthetic-avenue,864-540-0888,"1519 N Fant St, Anderson, SC, 29621, USA",1519 N Fant St,,Anderson,SC,29621,USA,Active,34.5193053,-82.6512517,2025-10-18T00:01:52.000Z,2025-10-27T21:46:04.000Z
LiveWellMD Weight Loss Centennial,livewellmd-weight-loss-centennial,720-620-8910,"8200 S Quebec St., , Suite A13, Centennial, CO, 80112, USA","8200 S Quebec St., ",Suite A13,Centennial,CO,80112,USA,Active,39.5673818,-104.9025678,2025-10-18T00:01:52.000Z,2025-10-18T00:01:52.000Z
JL Aesthetics,jl-aesthetics,8086527684,"4347 Rice St , #207, Lihue, HI, 96766, USA",4347 Rice St ,#207,Lihue,HI,96766,USA,Active,21.9736849,-159.3668182,2025-10-18T00:01:52.000Z,2025-10-18T00:01:52.000Z
LongJuve Med Spa,longjuve-med-spa,410-302-8868,"11350 McCormick Road , Executive Plaza 3, Suite 101, Hunt Valley, MD, 21031, USA",11350 McCormick Road ,"Executive Plaza 3, Suite 101",Hunt Valley,MD,21031,USA,Active,39.4937918,-76.6612327,2025-10-18T00:01:53.000Z,2025-10-18T00:01:53.000Z
PURE Aesthetics,pure-aesthetics,843-429-8255,"4111 Murrells Inlet Rd, Murrells Inlet, SC, 29576, USA",4111 Murrells Inlet Rd,,Murrells Inlet,SC,29576,USA,Active,33.5586681,-79.0366118,2025-10-18T00:01:53.000Z,2025-10-20T19:23:57.000Z
The Body Spa,the-body-spa,4433097583,"180 Grove Lane, Newark, DE, 19711, USA",180 Grove Lane,,Newark,DE,19711,USA,Active,39.682875,-75.73470859999999,2025-10-18T00:01:54.000Z,2025-10-18T00:01:54.000Z
Willow Med Spa and Salon,willow-med-spa-and-salon,304-777-2352,"186 Fairchance Rd, Morgantown, WV, 26508, USA",186 Fairchance Rd,,Morgantown,WV,26508,USA,Active,39.6756749,-79.8479043,2025-10-18T00:01:54.000Z,2025-11-13T01:30:45.000Z
Advanced Facial Plastic Surgery Center,advanced-facial-plastic-surgery-center,(972) 774-1777,"14755 Preston Rd., , #110, Dallas, TX, 75254, USA","14755 Preston Rd., ",#110,Dallas,TX,75254,USA,Active,32.94871490000001,-96.8041867,2025-10-18T00:01:54.000Z,2025-10-18T00:01:54.000Z
American Beauty Medi Spa,american-beauty-medi-spa,9498999335,"23600 Rockfield Blvd , Building 2N, Lake Forest, CA, 92630, USA",23600 Rockfield Blvd ,Building 2N,Lake Forest,CA,92630,USA,Active,33.6296171,-117.7192395,2025-10-18T00:01:55.000Z,2025-10-18T00:01:55.000Z
FormMD Aesthetics,formmd-aesthetics,9499982299,"26691 Plaza, , Ste 200, Mission Viejo, CA, 92691, USA","26691 Plaza, ",Ste 200,Mission Viejo,CA,92691,USA,Active,33.5655447,-117.6650198,2025-10-18T00:01:55.000Z,2025-10-18T00:01:55.000Z
Glowtox Medical Aesthetics,glowtox-medical-aesthetics,9177568010,"106 West 13th Street - , Lower Level, NY, NY, 10011, USA",106 West 13th Street - ,Lower Level,NY,NY,10011,USA,Active,40.7367213,-73.9980848,2025-10-18T00:01:56.000Z,2025-10-18T00:01:56.000Z
Illuminated Beauty & Skincare Den,illuminated-beauty-and-skincare-den,843.937.1477,"179 Ashley Phosphate Rd , Unit A, North Charleston, SC, 29406, USA",179 Ashley Phosphate Rd ,Unit A,North Charleston,SC,29406,USA,Active,32.9343421,-80.0493053,2025-10-18T00:01:56.000Z,2025-10-18T00:01:56.000Z
Lady Leona Aesthetics,lady-leona-aesthetics,267-291-4467,"6 South Sycamore Street, Newtown, PA, 18940, USA",6 South Sycamore Street,,Newtown,PA,18940,USA,Active,40.2285319,-74.9394557,2025-10-18T00:01:56.000Z,2025-10-18T00:01:56.000Z
Medspa Raphael,medspa-raphael,810-531-2035,"1221 S Ortonville Rd , Suite A, Ortonville, MI, 48462, USA",1221 S Ortonville Rd ,Suite A,Ortonville,MI,48462,USA,Active,42.8334194,-83.4451761,2025-10-18T00:01:57.000Z,2025-10-18T00:01:57.000Z
Oasis Haven Restorative Aesthetics,oasis-haven-restorative-aesthetics,949-334-7988,"3151 Airway Avenue, , Suite F107, Costa Mesa, CA, 92626, USA","3151 Airway Avenue, ",Suite F107,Costa Mesa,CA,92626,USA,Active,33.6776803,-117.8739275,2025-10-18T00:01:57.000Z,2026-02-28T00:16:35.000Z
Sei Tu Bella Aesthetics,sei-tu-bella-aesthetics,352-279-9506,"18125 US HWY 41 , Suite 201, Lutz, FL, 33549, USA",18125 US HWY 41 ,Suite 201,Lutz,FL,33549,USA,Active,28.1368934,-82.462656,2025-10-18T00:01:57.000Z,2025-10-18T00:01:57.000Z
Skin By Peak DBA Peak Beauty,skin-by-peak-dba-peak-beauty,469 547 5764,"4211 Travis St., Dallas, TX, 75205, USA",4211 Travis St.,,Dallas,TX,75205,USA,Active,32.81763660000001,-96.7938664,2025-10-18T00:01:58.000Z,2025-10-18T00:01:58.000Z
Amari Vitality,amari-vitality,931-854-9110,"335 Newman Dr, Suite B, Cookeville, TN, 38501, USA",335 Newman Dr,Suite B,Cookeville,TN,38501,USA,Active,36.1461777,-85.52495119999999,2025-10-18T00:01:58.000Z,2026-02-10T00:36:04.000Z
The Skin & Body Lounge,the-skin-and-body-lounge,559-721-2561,"6097 North Figarden Drive, Fresno, CA, 93722, USA",6097 North Figarden Drive,,Fresno,CA,93722,USA,Active,36.8241894,-119.8707386,2025-10-18T00:01:59.000Z,2025-10-29T18:48:29.000Z
Wolschlager Wellness,wolschlager-wellness,8153544099,"1408 S Main St, Algonquin, IL, 60102, USA",1408 S Main St,,Algonquin,IL,60102,USA,Active,42.1541771,-88.2961254,2025-10-18T00:01:59.000Z,2025-10-18T00:01:59.000Z
Boca Skin Club,boca-skin-club,561-558-7571,"5499 N Federal HWY , Suite D, Boca Raton, FL, 33487, USA",5499 N Federal HWY ,Suite D,Boca Raton,FL,33487,USA,Active,26.3977802,-80.0768192,2025-10-18T00:01:59.000Z,2025-10-18T00:01:59.000Z
Holself,holself,(916) 246-6076,"3523 Fair Oaks Blvd, Sacramento, CA, 95864, USA",3523 Fair Oaks Blvd,,Sacramento,CA,95864,USA,Active,38.5746498,-121.3817764,2025-10-18T00:02:00.000Z,2025-10-18T00:02:00.000Z
Four Seasons Resort Orlando at Walt Disney World Resort,four-seasons-resort-orlando-at-walt-disney-world-resort,407-313-7777,"10100 Dream Tree Boulevard, Lake Buena Vista, FL, 32836, USA",10100 Dream Tree Boulevard,,Lake Buena Vista,FL,32836,USA,Active - Non-accruing,28.4020821,-81.54573839999999,2025-10-18T00:02:00.000Z,2025-11-13T01:36:19.000Z
Icon Dermatology,icon-dermatology,301-810-3600,"11300 Rockville Pike , Suite 911, North Bethesda, MD, 20852, USA",11300 Rockville Pike ,Suite 911,North Bethesda,MD,20852,USA,Active,39.0415003,-77.1113912,2025-10-18T00:02:00.000Z,2025-10-18T00:02:00.000Z
West Sound Dermatology,west-sound-dermatology,360-834-5474,"19917 7th Ave NE , #203, Poulsbo, WA, 98370, USA",19917 7th Ave NE ,#203,Poulsbo,WA,98370,USA,Active,47.7441397,-122.6407537,2025-10-18T00:02:01.000Z,2025-10-18T00:02:01.000Z
The Med Spa by Vincent Surgical Arts,the-med-spa-by-vincent-surgical-arts,385-853-1011,"11649 S 4000 W , Suite 300, South Jordan, UT, 84009, USA",11649 S 4000 W ,Suite 300,South Jordan,UT,84009,USA,Active,40.539415,-111.9851711,2025-10-18T00:02:01.000Z,2025-10-18T00:02:01.000Z
Beauty by Elena,beauty-by-elena,201-639-4996,"1 Godwin Avenue, Suite 34, Midland Park, NJ, 07432, USA",1 Godwin Avenue,Suite 34,Midland Park,NJ,07432,USA,Active,40.9833467,-74.1361936,2025-10-18T00:02:01.000Z,2025-11-01T03:02:01.000Z
Lai Esthetics,lai-esthetics,5044539288,"6464 Northwest Hwy , #127, Dallas, TX, 75214, USA",6464 Northwest Hwy ,#127,Dallas,TX,75214,USA,Active,32.8574302,-96.7532243,2025-10-18T00:02:02.000Z,2025-10-18T00:02:02.000Z
re:fresh Skin + Injectables,re-fresh-skin-injectables,914-627-8400,"401 Colombus Ave , #205, Valhalla, NY, 10595, USA",401 Colombus Ave ,#205,Valhalla,NY,10595,USA,Active,41.097562,-73.7780764,2025-10-18T00:02:02.000Z,2025-10-31T18:57:51.000Z
Esthetics by Kerry,esthetics-by-kerry,847-417-9170,"34500 US 45 , Unit P, Third Lake, IL, 60030, USA",34500 US 45 ,Unit P,Third Lake,IL,60030,USA,Active,42.3644764,-88.00042959999999,2025-10-18T00:02:03.000Z,2025-11-13T01:38:39.000Z
LiveWell Medical Aesthetics,livewell-medical-aesthetics,(605) 545-9020,"811 Columbus St, Rapid City, SD, 57701, USA",811 Columbus St,,Rapid City,SD,57701,USA,Active,44.0772432,-103.2327712,2025-10-18T00:02:03.000Z,2025-10-18T00:02:03.000Z
Pure Vitality Med Spa,pure-vitality-med-spa,980-354-7063,"113 Renee Ford Rd., Locust, NC, 28097, USA",113 Renee Ford Rd.,,Locust,NC,28097,USA,Active,35.2536046,-80.4378928,2025-10-18T00:02:03.000Z,2025-10-18T00:02:03.000Z
Rituals by Mia,rituals-by-mia,949-550-9381,"1799 Newport Blvd., , STE A106, Costa Mesa, CA, 92627, USA","1799 Newport Blvd., ",STE A106,Costa Mesa,CA,92627,USA,Active,33.6394655,-117.9210213,2025-10-18T00:02:04.000Z,2025-10-18T00:02:04.000Z
Elite Retreat Spa & Skin Care Store,elite-retreat-spa-and-skin-care-store,469 501 2484,"1264 Harwood Road, Bedford, TX, 76021, USA",1264 Harwood Road,,Bedford,TX,76021,USA,Active,32.8521869,-97.14821549999999,2025-10-18T00:02:04.000Z,2025-10-18T00:02:04.000Z
Glow Aesthetics,glow-aesthetics-winchester,540-751-8828,"3051 Valley Ave Suite 106, Winchester, VA, 22601, USA",3051 Valley Ave Suite 106,,Winchester,VA,22601,USA,Active,39.1435989,-78.19137289999999,2025-10-18T00:02:04.000Z,2026-03-11T19:30:05.000Z
Goddessglowbytori,goddessglowbytori,516-491-1919,"1 Old Country Rd , # 102, Garden City, NY, 11530, USA",1 Old Country Rd ,# 102,Garden City,NY,11530,USA,Active,40.7427887,-73.6216142,2025-10-18T00:02:05.000Z,2025-11-11T03:06:08.000Z
Skin Therapy LLC,skin-therapy-llc,267-825-0038,"649 Second Street Pike, Suite A, Southampton, PA, 18966, USA",649 Second Street Pike,Suite A,Southampton,PA,18966,USA,Active,40.1728897,-75.043942,2025-10-18T00:02:05.000Z,2025-12-11T01:19:44.000Z
Jenna Sherman Aesthetics,jenna-sherman-aesthetics,(949) 302-9395,"26582 Mimosa Lane, Mission Viejo, CA, 92691, USA",26582 Mimosa Lane,,Mission Viejo,CA,92691,USA,Active,33.6322638,-117.6667272,2025-10-18T00:02:05.000Z,2025-10-18T00:02:05.000Z
Petroff Center,petroff-center,503-635-4886,"17720 Jean Way , Suite 100, Lake Oswego, OR, 97035, USA",17720 Jean Way ,Suite 100,Lake Oswego,OR,97035,USA,Active,45.3978727,-122.7377412,2025-10-18T00:02:06.000Z,2025-10-18T00:02:06.000Z
Full Circle Health and Hydration,full-circle-health-and-hydration,(949) 4055788,"1122 Bristol Street, Costa Mesa, CA, 92626, USA",1122 Bristol Street,,Costa Mesa,CA,92626,USA,Active,33.6701105,-117.8870171,2025-10-18T00:02:06.000Z,2025-10-18T00:02:06.000Z
Skyn Alchemy,skyn-alchemy,619 323 1721,"10330 Friars Rd, , #119, San Diego, CA, 92120, USA","10330 Friars Rd, ",#119,San Diego,CA,92120,USA,Active,32.7921665,-117.1003002,2025-10-18T00:02:07.000Z,2025-10-18T00:02:07.000Z
GlowHaus Aesthetics,glowhaus-aesthetics,530-524-0103,"2650 Edith Ave, Redding, Ca, 96001, USA",2650 Edith Ave,,Redding,Ca,96001,USA,Active,40.5705759,-122.3993309,2025-10-18T00:02:06.000Z,2025-10-18T00:02:06.000Z
Megan Eubank Esthetics,megan-eubank-esthetics,850-612-2679,"105 W Central Ave, Springboro, OH, 45066, USA",105 W Central Ave,,Springboro,OH,45066,USA,Active,39.5571905,-84.23652799999999,2025-10-18T00:02:07.000Z,2025-10-18T00:02:07.000Z
Stacey Folk Md,stacey-folk-md,303.321.6608,"4700 Hale Pkwy, , Suite 520, Denver, CO, 80220, USA","4700 Hale Pkwy, ",Suite 520,Denver,CO,80220,USA,Active,39.7324492,-104.9321367,2025-10-18T00:02:08.000Z,2025-10-18T00:02:08.000Z
Bloom Aesthetics,bloom-aesthetics,509-990-3054,"1227 W Summit Pkwy Suite A, Spokane, WA, 99201, USA",1227 W Summit Pkwy Suite A,,Spokane,WA,99201,USA,Active,47.6614979,-117.4308462,2025-10-18T00:02:08.000Z,2025-10-20T18:59:53.000Z
Pretty Please Aesthetics - East Sac,pretty-please-aesthetics-east-sac,(916) 287-1725,"5357 H St, Sacramento, CA, 95819, USA",5357 H St,,Sacramento,CA,95819,USA,Active,38.5682972,-121.436441,2025-10-18T00:02:08.000Z,2025-10-18T00:02:08.000Z
Safety Harbor Family Dentistry,safety-harbor-family-dentistry,(727) 726-0865,"353 Main Street, Safety Harbor, FL, 34695, USA",353 Main Street,,Safety Harbor,FL,34695,USA,Active,27.9910257,-82.69097359999999,2025-10-18T00:02:09.000Z,2025-10-18T00:02:09.000Z
Ellie and Sass,ellie-and-sass,310-699-5546,"1327 Venice Blvd , Unit B, Venice, CA, 90291, USA",1327 Venice Blvd ,Unit B,Venice,CA,90291,USA,Active,33.995989,-118.449502,2025-10-18T00:02:09.000Z,2025-10-18T00:02:09.000Z
Rituals Salon & Spa,rituals-salon-and-spa,804-794-6699,"11400 W. Huguenot Road, Midlothian, VA, 23113, USA",11400 W. Huguenot Road,,Midlothian,VA,23113,USA,Active,37.5259092,-77.60868169999999,2025-10-18T00:02:10.000Z,2025-10-18T00:02:10.000Z
Beauty Born MedSpa,beauty-born-medspa,602-962-3838,"2200 E Camelback Rd , Suite 102, Phoenix, AZ, 85016, USA",2200 E Camelback Rd ,Suite 102,Phoenix,AZ,85016,USA,Active,33.5099708,-112.0339438,2025-10-18T00:02:10.000Z,2025-10-18T00:02:10.000Z
"Department of Anastasia LLC, DBA ART Aesthetics Denver",department-of-anastasia-llc-dba-art-aesthetics-denver,(630) 433-6789,"323 S Pearl St , #30, Denver, CO, 80209, USA",323 S Pearl St ,#30,Denver,CO,80209,USA,Active,39.7106293,-104.9806256,2025-10-18T00:02:11.000Z,2025-10-18T00:02:11.000Z
Evolve Aesthetics and Wellness,evolve-aesthetics-and-wellness,7725380175,"1800 43rd Ave, Vero Beach, FL, 32960, USA",1800 43rd Ave,,Vero Beach,FL,32960,USA,Active,27.6351005,-80.429756,2025-10-18T00:02:11.000Z,2025-10-18T00:02:11.000Z
Grey Aesthetics,grey-aesthetics,949-418-7495,"4001 Westerly Place , Ste 103, Newport Beach, CA, 92660, USA",4001 Westerly Place ,Ste 103,Newport Beach,CA,92660,USA,Active,33.6637791,-117.8685613,2025-10-18T00:02:11.000Z,2025-10-18T00:02:11.000Z
Rejuve Aesthetics & Wellness,rejuve-aesthetics-wellness,8087721531,"94-210 Pipukahi St , #206, Waipahu, HI, 96797, USA",94-210 Pipukahi St ,#206,Waipahu,HI,96797,USA,Active,21.3811829,-158.0179884,2025-10-18T00:02:12.000Z,2025-10-22T23:53:06.000Z
