name,address_line_1,address_line_2,city,state,zip,location,customer_class,loyalty,grade,national_account,national_account_id,phone,website,latitude,longitude
Massage Envy - Brookfield - 35-0742,49 Federal Road,,Brookfield,CT,06804,"49 Federal Road, Brookfield, Ct 06804",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,41.432703,-73.412245
Massage Envy - Canton,110 Albany Turnpike STE 205,,Canton,CT,06019,"110 Albany Turnpike STE 205, Canton, CT 06019",MECLASS,NONE,A,Massage Envy Franchising,11041861,,,41.823163,-72.883809
Massage Envy - Cromwell - 35-1163,51 Shunpike Road,,Cromwell,CT,06416,"51 Shunpike Road, Cromwell, CT 06416",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,41.604899,-72.677724
Massage Envy - Fairfield - 35-0381,2279 Black Rock Turnpike,,Fairfield,CT,06824,"2279 Black Rock Turnpike, Fairfield, CT 06824",MECLASS,NONE,B,Massage Envy Franchising,11041861,,,41.182245,-73.254833
Massage Envy - West Farm - 35-1022,1600 South East Road,,Farmington,CT,06032,"1600 South East Road, Farmington, CT 06032",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,41.715748,-72.764159
Kalon Medical Spa,221 Addison Rd,Ste 104,Glastonbury,CT,06033,"221 Addison Rd, Glastonbury, CT 06033",MEDICALSPA,NONE,D,,,(860) 800-2808,https://www.kalonmedspa.com,41.723343,-72.580904
Restore Hyper Wellness - Glastonbury (CT017),2951 Main St,Ste. #300,Glastonbury,CT,06033,"2951 Main St, Glastonbury, CT 06033",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(860) 266-7757,,41.724206,-72.616607
Massage Envy - Hamden - 35-1124,2300 Dixwell Ave,,Hamden,CT,06514,"2300 Dixwell Ave, Hamden, Ct 06514",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,41.37314,-72.918075
Afterglow Aesthetics,31 Cherry St,#3,Milford,CT,06460,"31 Cherry St, Milford, CT 06460",WHOLESALE,NONE,E,,,(475) 339-8066,https://afterglowesthetics.co/,41.226398,-73.054981
Massage Envy - Milford,1640 Boston Post Rd,,Milford,CT,06460,"1640 Boston Post Rd, Milford, Ct 06460",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,41.247547,-73.027465
Massage Envy - Norwalk / Wilton - 35-095,"607 Main Avenue, Ste. 9",,Norwalk,CT,06851,"607 Main Avenue, Ste. 9, Norwalk, CT 06851",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,41.157054,-73.422787
Premier Pain Care & Wellness Anesthesiol,40 Cross Street,301,Norwalk,CT,06851,"40 Cross Street, Norwalk, CT 06851",DOCTOR,NONE,D,,,(203) 956-0022,https://www.premierpaincareandwellness.com/,41.119073,-73.418419
Massage Envy - Shelton 1375,110 Commerce Dt,Suite 112,Shelton,CT,06484,"110 Commerce Dt, SHELTON, CT 06484",MECLASS,NONE,B,Massage Envy Franchising,11041861,,,41.299778,-73.088397
Crystal Valley Medical Aesthetics,216 Hemlock Ave,Suite 104B,South Windsor,CT,06074,"216 Hemlock Ave, South Windsor, CT 06074",MEDICALSPA,SILVER,E,,,(860) 656-7482,https://crystalvalleymedspa.com,41.815136,-72.554265
Massage Envy - South Windsor - 35-0659,400 Evergreen Way,Ste 416,South Windsor,CT,06074,"400 Evergreen Way, South Windsor, CT 06074",MECLASS,NONE,A,Massage Envy Franchising,11041861,,,41.812231,-72.555697
Massage Envy - Southbury Ct - 35-1272,"775 Main Street South, Unit 130",,Southbury,CT,06488,"775 Main Street South, Unit 130, Southbury, CT 06488",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,41.462227,-73.231259
Massage Envy - North Stamford,1014 High Ridge Road,,Stamford,CT,06905,"1014 High Ridge Road, Stamford, Ct 06905",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,41.106181,-73.548577
Massage Envy - West Hartford - 35-0825,"333 N Main St,",Unit 35,West Hartford,CT,06117,"333 N Main St,, West Hartford, CT 06117",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,41.78425,-72.747837
Restore Hyper Wellness - West Hartford (CT015),345 North Main St,Ste. 105,West Hartford,CT,06117,"345 North Main St, West Hartford, CT 06117",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(860) 945-4300,,41.785189,-72.747909
Restore Hyper Wellness - Westport (CT001),877 Post Rd E,,Westport,CT,06880,"877 Post Rd E, Westport, CT 06880",DOCTOR,NONE,U,Restore Hyper Wellness - Parent Account,11061787,(203) 557-0644,,41.138449,-73.335475
Dr. Hindola Konrad,164 Mt. Pleasant Rd.,Ste 201,​Newtown,CT,06470,"164 Mt. Pleasant Rd., ​Newtown, CT 06470",DOCTOR,NONE,U,,,(203) 297-6869,https://www.drhindolakonrad.com/,41.414117,-73.303565
SkinSpirit-Georgetown,1855 Wisconsin Ave NW,Suite 1A,Wahsington,DC,20007,"1855 Wisconsin Ave NW, Wahsington, DC 20007",DOCTOR,NONE,U,SkinSpirit National Account,11038393,,,38.916009,-77.06768
Cultura Dermatology and Laser Center,Cosmetic Physicians,5301 Wisconsin Ave NW Ste 110,Washington,DC,20015,"Cosmetic Physicians, Washington, DC 20015",DOCTOR,NONE,U,,,(240) 483-3529,,38.959355,-77.084275
Faccia,1766 Florida Ave NW,,Washington,DC,20009,"1766 Florida Ave NW, Washington, DC 20009",MEDICALSPA,GOLD,A,,,(202) 240-7574,https://www.facciaecorpo.com/,38.917426,-77.040453
Karen Fisher,1428 Foxhall Rd,,Washington,DC,20007,"1428 FOXHALL RD, Washington, DC 20007",WHOLESALE,NONE,E,,,,,38.907929,-77.082383
Logan 14 Aveda Lifestyle Salon & Spa,1314 B 14th St NW,,Washington,DC,20005,"1314 B 14th St NW, Washington, DC 20005",MEDICALSPA,NONE,E,,,,,38.90782,-77.032345
Massage Envy - Tenleytown - 21-1210,4926 Wisconsin Ave Nw,,Washington,DC,20016,"4926 Wisconsin Ave Nw, Washington, Dc 20016",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,38.954152,-77.082775
ZuriMD Med Spa and Wellness Boutique,732 Kennedy St NW,,Washington,DC,20011,"732 Kennedy St NW, Washington, DC 20011",DOCTOR,NONE,N,,,(312) 953-9360,,38.956181,-77.023769
Massage Envy - Dover,30  N Dupont Hwy,Suite 1,Dover,DE,19901,"30  N Dupont Hwy, Dover, DE 19901",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,39.163867,-75.516904
Webster Cosmetic and Family Dentistry,1522 S State St,,Dover,DE,19901,"1522 S State St, Dover, DE 19901",MEDICALSPA,NONE,U,,,,,39.132344,-75.52071
Rescue Aesthetics,7503 Lancaster Pike,Ste B,Hockessin,DE,19707,"7503 Lancaster Pike, Hockessin, DE 19707",MEDICALSPA,NONE,E,,,(302) 729-8833,https://www.rescueaesthetics.com/,39.790826,-75.702133
Massage Envy - Christiana - 40-1312,3148 Fashion Center Blvd.,,Newark,DE,19702,"3148 Fashion Center Blvd., Newark, DE 19702",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,39.744058,-75.746916
Skin Solutions by Wendi,3023 McDaniel Ln,,Newark,DE,19702,"3023 McDaniel Ln, Newark, DE 19702",WHOLESALE,NONE,U,,,,,39.585727,-75.771614
Massage Envy - Rehoboth Beach - 21-1226,18949 Coastal Hwy,,Rehoboth Beach,DE,19971,"18949 Coastal Hwy, Rehoboth Beach, DE 19971",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,38.730828,-75.131689
Glowtox,1601 Concord Pike,Suite 35,Wilmington,DE,19803,"1601 Concord Pike, Wilmington, DE 19803",MEDICALSPA,NONE,U,,,(302) 753-3634,,39.780462,-75.543556
Hazel & Honey Beauty Co.,5321 Brandywine Pkwy,Ste 7,Wilmington,DE,19803,"5321 Brandywine Pkwy, Wilmington, DE 19803",MEDICALSPA,NONE,E,,,,,39.832193,-75.537418
"Kristine Diehl, M.d.",2700 Silver Side Rd,#2,Wilmington,DE,19810,"2700 SILVER SIDE RD, Wilmington, DE 19810",DOCTOR,NONE,N,,,,,39.810599,-75.520208
Massage Envy - Concord Pike - 46-1373,5615 Concord Pike,,Wilmington,DE,19803,"5615 Concord Pike, Wilmington, De 19803",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,39.833673,-75.541087
Restore Hyper Wellness -Barley Mill- DE002,348 Buckley Mill Rd,,Wilmington,DE,19807,"348 Buckley Mill Rd, Wilmington, DE 19807",DOCTOR,NONE,U,Restore Hyper Wellness - Parent Account,11061787,(302) 317-1441,https://www.restore.com/,39.759636,-75.601613
Hormone Therapy of Orlando LLC,155 Cranes Roost Blvd,Ste 2020,Altamonte Springs,FL,32701,"155 Cranes Roost Blvd, Altamonte Springs, FL 32701",MEDICALSPA,NONE,N,,,(407) 910-1028,,28.663087,-81.383639
Massage Envy - Altamonte Springs - 40-02,"397 E. Altamonte Dr., Ste. 1600",,Altamonte Springs,FL,32701,"397 E. Altamonte Dr., Ste. 1600 , Altamonte Springs, FL 32701",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,28.664701,-81.379337
Preferred Plastic Surgery Of Orlando PA,220 E Central Pkwy,Ste 2020,Altamonte Springs,FL,32701,"220 E Central Pkwy, Altamonte Springs, FL 32701",DOCTOR,NONE,U,,,,,28.67236,-81.38519
Massage Envy - Aventura,20633 Biscayne Boulevard,,Aventura,FL,33180,"20633 Biscayne Boulevard, Aventura, FL 33180",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,25.966758,-80.14411
Miami Veneers and Modern Dentistry,2820 Ne 214 St,Office Ste 700,Aventura,FL,33180,"2820 NE 214 ST, Aventura, FL 33180",MEDICALSPA,NONE,U,,,,,25.93429,-80.122052
Hamptons Medical Associates,1590 Nw 10th Ave,Ste 201,Boca Raton,FL,33486,"1590 NW 10TH AVE, Boca Raton, FL 33486",DOCTOR,SILVER,B,,,,https://www.hamptonsmed.com/,26.36392,-80.105317
Massage Envy - Mission Bay,"20423 S State Rd 7, STE F-8",,Boca Raton,FL,33498,"20423 S State Rd 7, STE F-8, Boca Raton, FL 33498",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,26.371416,-80.206816
Massage Envy - Spanish River,4125 N. Federal Hwy.,,Boca Raton,FL,33431,"4125 N. Federal Hwy., Boca Raton, FL 33431",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,26.386419,-80.077981
Massage Envy - West Boca Raton,"7050 West Palmetto Park Rd, Bay 17",,Boca Raton,FL,33433,"7050 West Palmetto Park Rd, Bay 17, Boca Raton, FL 33433",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.348426,-80.15776
Restore Hyper Wellness - Boca Raton (FL001),21170 St. Andrews Blvd.,Ste 1,Boca Raton,FL,33433,"21170 St. Andrews Blvd., Boca Raton, FL 33433",DOCTOR,NONE,U,Restore Hyper Wellness - Parent Account,11061787,(561) 409-0003,,26.362421,-80.136905
Massage Envy - Boynton Beach,1000 N. Congress Suite 140,,Boynton Beach,FL,33426,"1000 N. Congress Suite 140, Boynton Beach, FL 33426",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,26.534425,-80.088897
Massage Envy - West Boynton Beach - 26-0,"8794 Boynton Beach Blvd., Suite 105",,Boynton Beach,FL,33472,"8794 Boynton Beach Blvd., Suite 105, Boynton Beach, FL 33472",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,26.526219,-80.186722
"Heidi Emrani, MD",1720 Manatee Ave E,,Bradenton,FL,34208,"1720 Manatee Ave E, Bradenton, FL 34208",DOCTOR,NONE,N,,,(941) 757-5445,,27.495668,-82.543651
Massage Envy - Bradenton - 09-1343,4734 Cortez Rd W,,Bradenton,FL,34210,"4734 Cortez Rd W, Bradenton, Fl 34210",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,27.463221,-82.609573
Massage Envy - Brandon - 09-0252,2092 Badlands Dr,,Brandon,FL,33511,"2092 Badlands Dr, Brandon, Fl 33511",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,27.927675,-82.315418
Massage Envy - Spring Hill-brooksville,13185 Cortez Boulevard,,Brooksville,FL,34613,"13185 Cortez Boulevard, Brooksville, FL 34613",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,28.535737,-82.508861
Massage Envy - Cape Coral - 09-0097,2221 Santa Barbara Blvd,,Cape Coral,FL,33991,"2221 Santa Barbara Blvd, Cape Coral, Fl 33991",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,26.609959,-81.973638
Massage Envy - Cape Coral North,1751 NE Pine Island Rd,Suite 155,Cape Coral,FL,33909,"1751 NE Pine Island Rd, Cape Coral, FL 33909",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.671469,-81.937076
Bare Skin Bar,1446 Court Street,,Clearwater,FL,33756,"1446 Court Street, Clearwater, FL 33756",WHOLESALE,NONE,N,,,(727) 512-5022,https://www.bareskinbaresthetics.com/,27.960851,-82.777393
Deborah L Kurtz Inc.,2467 Enterprise Rd,Ste E,Clearwater,FL,33763,"2467 ENTERPRISE RD, Clearwater, FL 33763",WHOLESALE,NONE,U,,,,,28.010468,-82.736289
Lueur Aesthetics,1822 Drew St,Ste 105,Clearwater,FL,33765,"1822 Drew St, Clearwater, FL 33765",MEDICALSPA,NONE,U,,,(352) 872-2571,https://www.thelueuraesthetics.com/,27.968063,-82.761677
Massage Envy - Clearwater - 09-0507,2516 N. Mcmullen Booth Rd,,Clearwater,FL,33761,"2516 N. Mcmullen Booth Rd, Clearwater, Fl 33761",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,28.013027,-82.709111
Restore Countryside LLC - Clearwater (FL082),25865 US Hwy 19 N,,Clearwater,FL,33763,"25865 US Hwy 19 N, Clearwater, FL 33763",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(813) 553-4678,,28.007446,-82.728836
Massage Envy - Clermont - 40-0900,"1500 Oakley Seaver Blvd, STE 15",,Clermont,FL,34711,"1500 Oakley Seaver Blvd, STE 15, Clermont, FL 34711",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,28.545447,-81.728188
Massage Envy - Coconut Creek,"4407 Lyons Rd., Ste. 102",,Coconut Creek,FL,33073,"4407 Lyons Rd., Ste. 102, Coconut Creek, FL 33073",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,26.231706,-80.185209
Massage Envy - Cooper City,5856 Flamingo Rd.,,Cooper City,FL,33330,"5856 Flamingo Rd., Cooper City, FL 33330",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,26.046489,-80.313154
Massage Envy - Coral Gables,256 Miracle Mile,,Coral Gables,FL,33134,"256 Miracle Mile, Coral Gables, FL 33134",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,25.749165,-80.259874
Massage Envy - South Miami,6927 Red Road,,Coral Gables,FL,33143,"6927 Red Road, Coral Gables, FL 33143",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,25.704765,-80.285151
Massage Envy - Coral Springs,2878 University Dr.,,Coral Springs,FL,33065,"2878 University Dr., Coral Springs, FL 33065",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.266307,-80.250896
Belfiore Wellness Center,502 E Hickory Ave,,Crestview,FL,32536,"502 E Hickory Ave, Crestview, FL 32536",MEDICALSPA,NONE,E,,,(850) 683-1100,https://belfiorewellnesscenter.com/,30.765366,-86.569764
Massage Envy - Cutler Bay,18443 South Dixie Hwy,,Cutler Bay,FL,33157,"18443 South Dixie Hwy, Cutler Bay, FL 33157",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,25.597987,-80.354368
Walk the Line Aesthetics & Medicine,13951 7th St,Unit 1,Dade City,FL,33525,"13951 7th St, Dade City, FL 33525",MEDICALSPA,NONE,N,,,(352) 584-9931,wtlaesthetics.com,28.361401,-82.189205
Massage Envy - Davie,2264 S University Dr,,Davie,FL,33324,"2264 S University Dr, Davie, FL 33324",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,26.094103,-80.249499
Massage Envy - Deland,233 E International Speedway Blvd,,DeLand,FL,32724,"233 E International Speedway Blvd, DeLand, FL 32724",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,29.056215,-81.302052
Massage Envy - Hillsboro,200 S Federal Hwy,,Deerfield Beach,FL,33441,"200 S Federal Hwy, Deerfield Beach, FL 33441",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.314832,-80.088843
Massage Envy - Destin - 03-0941,"34904 Emerald Coast Pkwy, Suite 132",,Destin,FL,32541,"34904 Emerald Coast Pkwy, Suite 132, Destin, FL 32541",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,30.387204,-86.427667
"Perfect B, LLC",3905 NW 107 Ave,104,Doral,FL,33178,"3905 NW 107 Ave , Doral, FL 33178",MEDICALSPA,GOLD,C,,,,,25.810608,-80.367866
Estero Cryo Ventures-Restore Hyper Wellness-FL047,10171 Estero Town Commons Pl,Unit #303,Estero,FL,33928,"10171 Estero Town Commons Pl, Estero, FL 33928",DOCTOR,GOLD,A,Restore Hyper Wellness - Parent Account,11061787,(239) 301-0907,https://restore.com,26.430338,-81.782762
Massage Envy - Coconut Point - 09-0096,8001 Plaza Del Lago,,Estero,FL,33928,"8001 Plaza Del Lago, Estero, Fl 33928",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,26.407248,-81.808739
Massage Envy - Fleming Island - 01-0786,865 Hibernia Rd Ste 103,,Fleming Island,FL,32003,"865 Hibernia Rd Ste 103, Fleming Island, Fl 32003",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,30.070259,-81.706488
Evina Enhancements,811 E Los Olas Blvd Unit 4,,Fort Lauderdale,FL,33301,"811 E Los Olas Blvd Unit 4, Fort Lauderdale, FL 33301",WHOLESALE,NONE,N,,,(954) 699-8512,,26.119463,-80.13503
Massage Envy - Fort Lauderdale,1917 Cordova Road,,Fort Lauderdale,FL,33316,"1917 Cordova Road, Fort Lauderdale, FL 33316",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.097132,-80.130975
Restore Hyper Wellness - Fort Lauderdale (FL026),2428 N Federal Hwy,,Fort Lauderdale,FL,33305,"2428 N Federal Hwy, Fort Lauderdale, FL 33305",DOCTOR,NONE,None,Restore Hyper Wellness - Parent Account,11061787,(954) 418-2796,https://www.restore.com/locations/fl-fort-lauderdale-fl026,26.156785,-80.117145
Karlee Lauren Aesthetics LLC,6442 Commerce Park Dr Ste 2,,Fort Myers,FL,33966,"6442 Commerce Park Dr Ste 2, Fort Myers, FL 33966",MEDICALSPA,NONE,D,,,,,26.548524,-81.847353
Massage Envy - South Fort Myers - 09-009,15880 Summerlin Rd,,Fort Myers,FL,33908,"15880 Summerlin Rd, Fort Myers, FL 33908",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,26.515192,-81.900145
Massage Envy - Fort Myers - 09-1356,9374 Ben C Pratt/6 Mile Cypress Pkwy,Unit 160,Ft Myers,FL,33966,"9374 BEN C PRATT/6 MILE CYPRESS PKWY, Ft Myers, FL 33966",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,26.606816,-81.811991
Massage Envy - Ft. Walton Beach - 03-116,99 Eglin Pkwy,Ste 5B,Ft. Walton Beach,FL,32548,"99 Eglin Pkwy, Ft. Walton Beach, FL 32548",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,30.418433,-86.606984
Lisa's Skin Care of Gainesville,3832 NW 12th Pl,,Gainesville,FL,32605,"3832 NW 12th Pl, Gainesville, FL 32605",MEDICALSPA,NONE,C,,,,,29.659028,-82.396025
Massage Envy - Gainesville/butler Plaza,3946 Sw Archer Rd,Ste W 105-106,Gainesville,FL,32608,"3946 Sw Archer Rd, Gainesville, Fl 32608",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,29.621715,-82.38301
Skin Avenue Aesthetics,4020 Newberry Rd,Ste 100,Gainesville,FL,32607,"4020 Newberry Rd, Gainesville, FL 32607",MEDICALSPA,SILVER,E,,,,https://www.skinavenueaesthetics.com,29.654317,-82.385882
Transformations Aesthetics,91 Branscomb Rd,Suite 6,Green Cove Springs,FL,32043,"91 Branscomb Rd, Green Cove Springs, FL 32043",MEDICALSPA,NONE,U,,,,,30.049356,-81.808924
Massage Envy - Gulf Breeze/pensacola Bch,1165 Gulf Breeze Parkway,,Gulf Breeze,FL,32561,"1165 Gulf Breeze Parkway, Gulf Breeze, Fl 32561",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,30.357566,-87.155438
Yamila's Faces Skin Care Institute Inc,2100 E Hallandale Beach Blvd,205,Hallandale Beach,FL,33009,"2100 E Hallandale Beach Blvd, Hallandale Beach, FL 33009",MEDICALSPA,NONE,E,,,,,25.985527,-80.127834
Massage Envy - East Hollywood,1640 Sheridan St,,Hollywood,FL,33020,"1640 Sheridan St, Hollywood, FL 33020",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.032447,-80.139659
Massage Envy - Hollywood Fl - 26-0707,5081 Sheridan Street,,Hollywood,FL,33021,"5081 Sheridan Street, Hollywood, Fl 33021",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.034565,-80.195588
ANNAZUR Organic SPA,4130 Salisbury Rd,1220,Jacksonville,FL,32216,"4130 Salisbury Rd, Jacksonville, FL 32216",WHOLESALE,NONE,N,,,,,30.253819,-81.596139
Glowhemian Esthetics,4796 Hodges Blvd,Ste 236,Jacksonville,FL,32224,"4796 Hodges Blvd, Jacksonville, FL 32224",WHOLESALE,NONE,N,,,(904) 885-0866,https://www.vagaro.com/glowhemianesthetics,30.257773,-81.467292
Integra Wellness and Aesthetics,10175 Fortune Pkwy,#204,Jacksonville,FL,32256,"10175 Fortune Pkwy, Jacksonville, FL 32256",DOCTOR,NONE,N,,,,,30.185633,-81.548258
Massage Envy - Bartram Park - 01-0029,13820 Old St Augustine Rd,,Jacksonville,FL,32258,"13820 Old St Augustine Rd, Jacksonville, Fl 32258",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,30.140427,-81.549643
Massage Envy - Harbour Village - 01-0182,13475 Atlantic Blvd STE 18,,Jacksonville,FL,32225,"13475 Atlantic Blvd STE 18, Jacksonville, FL 32225",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,30.322275,-81.452532
Massage Envy - Oakleaf - 01-1215,9651 Crosshill Blvd #110,,Jacksonville,FL,32222,"9651 Crosshill Blvd #110, Jacksonville, Fl 32222",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,30.197895,-81.828285
Massage Envy - Ortega - 01-0130,4509 St Johns Ave,Ste 1,Jacksonville,FL,32210,"4509 St Johns Ave, Jacksonville, FL 32210",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,30.288969,-81.721347
Massage Envy - Southside - 01-0676,"4375 Southside Boulevard, STE 10",,Jacksonville,FL,32216,"4375 Southside Boulevard, STE 10, Jacksonville, FL 32216",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,30.26721,-81.5575
Massage Envy - St Johns PKWY,90 Shops Blvd,Unit 30,Jacksonville,FL,32259,"90 Shops Blvd, Jacksonville, FL 32259",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,30.177731,-81.556875
Massage Envy - Jacksonville Beach - 01-0,3940 S. Third Street,,Jacksonville Beach,FL,32250,"3940 S. Third Street, Jacksonville Beach, Fl 32250",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,30.25832,-81.392114
Massage Envy - Jupiter,"3755 Military Trail, STE A-1",,Jupiter,FL,33458,"3755 Military Trail, STE A-1, Jupiter, FL 33458",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,26.898611,-80.101503
Massage Envy - Kissimmee - 40-1380,3245 Rolling Oaks Blvd,,Kissimmee,FL,34747,"3245 Rolling Oaks Blvd, Kissimmee, Fl 34747",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,28.344592,-81.611495
Massage Envy - 1441 Lake Mary Ctre,3879 Lake Emma Rd,,Lake Mary,FL,32746,"3879 Lake Emma Rd, Lake Mary, FL 32746",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,28.754821,-81.356595
Restore Hyper Wellness - Lake Mary (FL003),3681 Lake Emma Rd.,,Lake Mary,FL,32746,"3681 Lake Emma Rd., Lake Mary, FL 32746",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(407) 878-6164,,28.753262,-81.354443
Massage Envy - Lake Worth,6169 Jog Rd. Unit 4C Establishment,,Lake Worth,FL,33467,"6169 Jog Rd. Unit 4C Establishment, Lake Worth, FL 33467",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,26.588031,-80.149143
Massage Envy - Lakeland - 09-0509,3615 S. Florida Ave.,,Lakeland,FL,33803,"3615 S. Florida Ave., Lakeland, Fl 33803",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,27.998316,-81.959065
Lakewood Ranch Plastic Surgery,Anna Widmyer Md,6274 Lake Osprey Dr,Lakewood Ranch,FL,34240,"ANNA WIDMYER MD, Lakewood Ranch, FL 34240",DOCTOR,NONE,U,,,,,27.388129,-82.44426
Jonique Day Spa,645 Indian Rocks Rd. N,,Largo,FL,33770,"645 INDIAN ROCKS RD. N, Largo, FL 33770",WHOLESALE,NONE,U,,,,,27.922264,-82.813609
Massage Envy - Largo - 09-0339,10609 Ulmerton Rd,,Largo,FL,33771,"10609 Ulmerton Rd, Largo, Fl 33771",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,27.895456,-82.785639
Massage Envy - Van Dyke / Lutz - 09-0362,17673 N. Dale Mabry Hwy Establishment,,Lutz,FL,33548,"17673 N. Dale Mabry Hwy Establishment, Lutz, FL 33548",MECLASS,NONE,A,Massage Envy Franchising,11041861,,,28.126316,-82.500803
Coiffures International Salon and Spa,651 S Collier Blvd,Unit 1B,Marco Island,FL,34145,"651 S Collier Blvd, Marco Island, FL 34145",WHOLESALE,NONE,U,,,,,25.920658,-81.72577
A Day Away Massage and Spa,425 E Hollywood Blvd,,Mary Esther,FL,32569,"425 E Hollywood Blvd, Mary Esther, FL 32569",WHOLESALE,NONE,D,,,(850) 362-6263,https://adayawayfl.com/,30.413918,-86.653429
Massage Envy - Viera - 40-0968,"2261 Town Center Ave., #115",,Melbourne,FL,32940,"2261 Town Center Ave., #115, Melbourne, FL 32940",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,28.244143,-80.725814
Tactical Aesthetics,8045 Spyglass Rd,#101,Melbourne,FL,32940,"8045 SPYGLASS RD, Melbourne, FL 32940",WHOLESALE,NONE,D,,,,,28.202301,-80.670795
Ethereal Medspa,13011 SW 132 St.,,Miami,FL,33186,"13011 SW 132 St., Miami, FL 33186",MEDICALSPA,NONE,U,,,(786) 804-1241,,25.645023,-80.405164
Massage Envy - Brickell,900 S. Miami Ave,,Miami,FL,33130,"900 S. Miami Ave, Miami, FL 33130",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,25.765183,-80.193395
Massage Envy - Country Walk,13721 SW 152nd St,,Miami,FL,33177,"13721 SW 152nd St, Miami, FL 33177",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,25.62744,-80.415125
Massage Envy - Doral,9751 NW 41st St.,,Miami,FL,33178,"9751 NW 41st St., Miami, FL 33178",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,25.813122,-80.355098
Massage Envy - East Kendall,9017 SW 107th Ave,,Miami,FL,33176,"9017 SW 107th Ave, Miami, FL 33176",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,25.684616,-80.365317
Massage Envy - Kendall,13660 SW 88th Street,,Miami,FL,33196,"13660 SW 88th Street, Miami, FL 33196",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,25.683835,-80.415622
